gpl,bioc_package
GPL15380,GGHumanMethCancerPanelv1
GPL8490,IlluminaHumanMethylation27k
GPL13534,IlluminaHumanMethylation450k
GPL2898,adme16cod
GPL71,ag
GPL198,ath1121501
GPL2112,bovine
GPL3979,canine
GPL3738,canine2
GPL200,celegans
GPL3213,chicken
GPL72,drosgenome1
GPL1322,drosophila2
GPL199,ecoli2
GPL4191,h10kcod
GPL2891,h20kcod
GPL74,hcg110
GPL201,hgfocus
GPL96,hgu133a
GPL571,hgu133a2
GPL97,hgu133b
GPL570,hgu133plus2
GPL13667,hgu219
GPL91,hgu95av2
GPL8300,hgu95av2
GPL92,hgu95b
GPL93,hgu95c
GPL94,hgu95d
GPL95,hgu95e
GPL5689,hgug4100a
GPL887,hgug4110b
GPL886,hgug4111a
GPL1708,hgug4112a
GPL17897,hthgu133a
GPL15396,hthgu133b
GPL98,hu35ksuba
GPL99,hu35ksubb
GPL100,hu35ksubc
GPL101,hu35ksubd
GPL80,hu6800
GPL6244,hugene10sttranscriptcluster
GPL11532,hugene11sttranscriptcluster
GPL6097,illuminaHumanv1
GPL6102,illuminaHumanv2
GPL6947,illuminaHumanv3
GPL10558,illuminaHumanv4
GPL32,mgu74a
GPL81,mgu74av2
GPL33,mgu74b
GPL82,mgu74bv2
GPL34,mgu74c
GPL83,mgu74cv2
GPL4032,moe430a
GPL339,moe430b
GPL340,mouse4302
GPL1261,mouse430a2
GPL75,mu11ksuba
GPL76,mu11ksubb
GPL77,mu19ksuba
GPL78,mu19ksubb
GPL79,mu19ksubc
GPL341,rae230a
GPL342,rae230b
GPL1355,rat2302
GPL85,rgu34a
GPL86,rgu34b
GPL87,rgu34c
GPL88,rnu34
GPL89,rtu34
GPL1352,u133x3p
GPL1318,xenopuslaevis
GPL2529,yeast2
GPL90,ygs98
GPL1319,zebrafish
